إسم الطبقة,التعريف,مثال,متغيرات العد,عدد في القراءات و الروايات,متغيرات الرسم,المحتوى القرآني ذا الصلة,المحاكاه,التطبيقات,Deliverable,أهمية وجود الطبقة بشكل منفصل,المصادر
تعريفات علوم القراءات (ما لا يسع العامل على مشكلةا القراءات جهله),القراءات القرآنية هي علم يتعلق بكيفية أداء كلمات القرآن الكريم واختلاف النطق بها، مع العزو إلى أئمة مقرئين موثوقين وروايتها عن النبي محمد صلى الله عليه وسلم.,البيانات الأساسية للرواية التي يبنى عليها باقى الطبقات والتعريف بالرواية,علم العدد في حفص وغيره من الروايات - علم العدد هو علم يبين اختلاف العلماء في عدد آيات القرآن الكريم في كل قراءة,لا يتطبق,لا ينطبق,نص الرواية الأساسي والمصادر المتوفرة من الجهات الموثوقة حالياً,محاكاه شاملة,بناء طبقات البيانات القرآنية,التعريفات (ما لا يسعل العامل بمشكلة القراءات جهله),هو أن يستطيع العاملين على تقنيات القرآن الوصول للسلوك البرمجي المطلوب بدون الحاجة لتعلم صلة البيانات الأساسية للقراءات بما يتلوها من طبقات، حيث أن هذه الطبقة تمثل نقطة الدخول على الطبقات التي تليها وهي المركز الأعم والأقل تفصيلاً.,
طبقة التركيب الحرفي,التركيب الحرفي هو ما يترتب على حرف أو أكثر من صوت أو أداء وهذا ظاهر جدا في أحكام التلاوة والتجويد ,البناء الصرفي للكلمة - الغنة - المد - الإخفاء. يتغير التشكيل على مستوى كل قراءة بل نسخة لكل رواية (مجمع الملك فهد أصدر عشرين مصحف لكل رواية مصحف),عدد الحروف لا يتغير إلا بتغير القراءة وهو ثابت في مصاحف القراءة الواحدة ولذلك لكل قراءة مجموعة بيانات مختلفة على مستوى الحرف,غير واضح وليس لدينا الا المصدر الذي قدم لمكنون، والمقالة التي في المصادر مختصرها أن هناك خلاف,التغير قد يكون على مستوى التشكيل أو التسهيل لهزة أو ما شابه - التغيير في الرسم في التشكيل سينتقل لطبقة الرموز حيث يتغير شكل رسم وفقاً لحكم التجويد (التنوين فقط الذي نرصده في حفص ولا نعلم عن باقى القراءات ما إن كانت تحتوي على حالات شبيهة تحت ذلك التصنيف).,التجويد - البيانات الصوتية لأحكام التجويد - ,محاكاة البناء والتكوين المبنى على علم الرسم العثماني وما يقوم بفعله عىل كلمة اللغة ثم أثر كل قراءة على بناء الكلمة.,التحليل الصرفي - بناء الكيانات المعرفة للكلمات لظبط كيان المقاطع بأجزاء من الحروف ومقاطع من كلمات تالية وكلمات سابقة - الظبط الإحصائي للتثبت من بيانات المعالجة - وجود مصدر معلومة دقيق بشكل كافي للتباين المعلوماتي الكافي لصناعة خوارزميات معقدة مستندين للفروق على مستوى الحرف ومقاطعه السياقية - تويليد رموز التجويد بناء على قواعد التركيب الحرفي وإرفاق المحتوى المولد في تجربة الاستخدام مثل تطبيق سورة.,,إنتاج محتوى مبني على معلومات وقواعد منطقية لتجنب كتابة كل شيء بشكل حرفي مما يجعل البيانات أكبر حجما وأكثر تعقيداً حيث أن الوقت اللازم في بناء البيانات المخزنة بشكل حرفي يكون أسهل في وقت الانشاء في حال كان المحتوى ليس متعدد النسخ أما في ما بعد ذلك او في حال تعدد النسخ ييصبح الأمر مرهق وبه الكثير من الاخطاء وتكلفة التعامل معه تقنياً كبيرة جداً. في حال وجود خطأ في البيانات فقط نقوم بتغيير القواعد المنطقة بدلاً من تغيير المحتوى نفسه فتصبح تكلفة التغيير أقل كثيراً من تكلفة التغير بشكل يدوي.,https://www.islamweb.com/ar/fatwa/37725/%D8%B9%D8%AF%D8%A9-%D8%A3%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86
طبقة بيانات رسم الأحرف,هي طبقة البيانات التي تبنى بناء على محتوى مبني على مستوى الحرف ويحتمل أن تكون بيانات مخزنة بشكل مباشر حرفي أو بشكل مولد بناء على قواعد منطقية مثل ألوان الأحرف في أحكام التجويد,بناء تجارب الاستخدام المبنية على الحرف مثل تصحيح التجويد وظبط الأحكام وتعلم نطق الحرف وحده أو مدمج في الحرف الذي يليه والحرف الذي قبله - القابلية للوقوف على المعاني الصرفية مثل الفاء تفيد السرعة في موضع العطف بين جملتين وإلخ. ظبط ععلم الوقف والإبتداء بشكل أكثر دقة من مستوى الكلمة., تتغير القواعد أو المحددات للحالات المختلفة بناء على تغير القراءة أو الرواية,غير معدود أو لا قيمة لذكر العدد,يتغير على حسب حالات توظيف معلومات الرسم على مستوى الحرف حيث أن لكل شكل محتوى يتغير بتغير القراءة وعليه تتغير البيانات,قواعد التجويد بشكل ملون - نطق الحرف أو مخرجه ( شامل مساحة الاختلافات بين العلماء). الأحرف مسجلة بشكل صوتي منفصل ومتصل. ,محاكاة الربط على الحرف بالرسم في محتوى مكتوب ومحتوى صوتي أيضاً,"لتسهيل فهم وربط النقحرة بنطق الكلمة حرفاً حرفاً لغير الناطقين باللغة العربية. تسهيل تعلم وتتبع التجويد. ربط التدريب المعلوماتي للذكاء الاصطناعي بالأحرف لتحديد الخطأ للمستخدمين بشكل بصري معروض على المصحف حرفاً حرفاً, تعليم مخارج الأحرف بدقة قصوى. ظبط شرح مسائل الوقف والابتداء بسبب الأحرف الداخلة على الكلمة المؤثرة في المعنى وتسهيل تصفح هذا العلم بشكل سلس بدلاً من الانتقا من تطبيق إلى آخر. (سابقاً مشروعات على مستوى الحرف مثال تطبيق سورة الأحرف الملونة المولدة بناءً على قواعد).",,,
طبقة الرموز المرفقة بالأحرف,الرموز هي علامات ليست من التشكيل تشير إلى أداء صوتي معين وتختلف من رواية لرواية,مثال في رواية حفص علامة السكت س وعلامة الإمالة وعلامة الإشمام وعلامة التسهيل وعلامة ألف الوصل وعلامة الأشهر في النطق (س تحت ص أو فوقها) وعلامة المد والألأف الصغيرة والياء الصغيرة والواو الصغيرة وم الإقلاب ,تختلف وفقا لسياقات متعددة مثل علم الوقف والابتداء والاجتهادات المختلفة للعلماء,يختلف العدد باختلاف القراءة والرواية,لكل مصحف في نفس القراءة أشكال ومتغيرات في الرسم ويتغي كل ذلك بتغير القراء ويتغير أيضاً على مستوى الرواية,محتوى تعليمي بأشكاله والتفاعل بأشكاله مع القواعد المختلفة لعلوم القرآن التي يتم ترميزها بشكل مرسوم,محاكات تلوين الكلمات بالاعراب محاكاة تشكيل جمل من خلال ألوان بشكل له دلالات معنى .. محاكاة الوقف المتغير بتغير القراءة .. محاكاة رموز القراءات والروايات,تعليم الجمهور بشكل تفاعلي .. مساعدة المتخصصين بشكل لا مركزي سلس من خلال تطبيقات بنيت فوق النص القرآني وتمكينهم من التفاعل فوق النص من خلال طبقات الرموز .. إضافة وتعديل وتحليل والتعلم بشكل متدرج متخصص,,تم تصنيف هذه الطبقة من أجل القدرة على ربط النصوص على مستويات طبقات البيانات بدون وجود الرموز التي تخلتلف على مستوى الرواية والقراءة مما يجعل الربط شديد الصعوبة وضعيف الجودة,
طبقة الكلمة ,طبقة الكلمة تشكل كل كلمة من كلمات القرآن الكريم على حده، سواء كانت اسما أو فعلا أو حرفا أو ضميرا وقد اصطلح أهل العربية على إلصاق واو العطف بالكلمة التي تليها مثل فاء العطف وفاء السببية ولام التعليل وغيرها وعلى ذلك تتكون طبقة الكلمات في القرآن الكريم من عدد من الكلمات يختلف بحسب اختلاف الرواية,الم - والذين - نعما - لوما - فالذين - للذين - بالذين - عندما - بينما، ,يتغير العدد من قراءة لأخرى في مواضع معدودة قليلة جدا ولذلك لكل قراءة مجموعة بيانات منفصلة على مستوى الكلمة. وهناك دمج بين كلمتين أو نقص كلمة  أو زيادة كلمة .. أو تغير كلمة بكلمة. ويمكن أن تكون الجملة أكبر من الآية حيث أن الجملة قد تشمل مجموعة آيات مجتمعين (كأول ٣ آيات في الفاتحة إعراباً),عدد كلمات رواية حفص الرواية الوحيدة المرصودة 77432 كلمة ولم يتم رصد أي عدد أي روابة أخرى غير رواية حفص,يتغير الفونت حسب الرواية من حيث التنقيط والرموز ومواضع الوقف والابتداء وأشكال التشكيل أحيانا وكذلك شكل بعض الحروف.,الفونتات التي أنتجها مجمع الملك فهد ووضعها في شكل قواعد بيانات بعدة صيغ  ومن هنا خرج مشروع ديجيتال خط,"محاكاة بناء الكلمة مع مدخلات العدد المختلفة, مثل ربط الكلمة بالآية وربط الآية بالسطر في كل مصحف وربط الآية بالصفحة في كل مصحف",توفير معنى لكل كلمة منفصلة أو تحديد كيفة نطق الكلمة لوحدها,,,
طبقة الجملة ,جمل القرآن الكريم هي كل جملة يمكن أن تستقل من آية ,مثل وعلى الثلاثة الذين خلفوا | حتى إذا ضاقت عليهم الأرض,يتغير على مستوى القراءة ,يختلف العدد باختلاف القراءة والرواية,يختلف  الرسم باختلاف القراءة والرواية,قاعدة بيانات تشمل على مواضع الوقف المعتبرة من خلال جرد كتب الوقف والابتداء (مشروع الشيخ الحلواني) | مشروع التكرار الدائري وهو تقطيع التلاوات على مستوى الجملة,محاكاة مقاطع الجمل المختلفة وترقيمها وتركيبها وصناعة الأنماط منها وتزمينها,"لتصحيح أثناء التلاوة إذا وقف القاريء في موضع لا يصح الوقف فيه أو لازم فيها الوقف, تحديد نطق أكثر من كلمة مع بعضها أو كلمتان كحد أدنى. Personalization في نمط الحفظ والنسيان وكذا",,وجود قدرة على فهم العمق وراء النص وربط البيانات ذات الصلة بشكل مصمم هندسياً بشكل محسن غير مسبب لعقبات وذا تبعات أقل عبءاً لبناء مثل التطبيقات المذكورة,
طبقة الآية ,تقسيم لسور القرآن الكريم على الآيات ,الم - قل هو الله أحد - ثم نظر ,عدد الآيات يختلف من رواية لرواية وبحسب العدد المختار من اللجنة التي أعدت المصحف  المنشور بتلك الرواية,عدد الآيات حفص ٦٢٣٦ وشعبة وكذلك لانهما قراءتان برواية واحدة، عدد الآيات ورش  ٦٢١٤  وكذلك عدد الآيات قالون ٦٢١٤ لانهما رواية واحدة، وكذلك عدد الآيات الدوري ٦٢١٤، ورواية السوسي ٦٢١٧,لا يوجد,لا يوجد,المحاكاه بربط الآية بكلماتها وربط الآية بالاحظزاب بشكل رياضي وربط الآية بنطاق صفحات صفحة أو يزيد,,,,
طبقة التحزيب,تقسيم المصحف على أساس الأحزاب وكل حزب يمثل نصف جزء وهو يتكون من 10 صفحات تقريبا والتحزيب واحد في كل المصاحف المطبوعة في كل أقطار العالم الإسلامي وكل حزب يتكون من 4 أرباع ويقال عنها في بعض الأقطار أثمان والربع ربع بالنسبة للحزب وثمن بالنسبة للجزء,,عدد الأحزاب 60 حزب في كل المصاحف في كل الروايات ,لا يختلف عدد الأحزاب باختلاف الرواية,لا يوجد,قاعدة بيانات تشمل مواضع بدايات الأحزاب لتستخدم كفهرس فرعي في المصحف بالإضافة لفهرس السور,لا تحتاج,يمكن أن يستخدم التحزيب في وضع خطط القراءة والاستماع والحفظ والمراجعة ,,,
طبقة السورة ,متفق بين جميع الروايات على أن عدد سور القرآن الكريم هو 114 سورة ,سورة الفاتحة - سورة البقرة  - سورة آل عمران - سورة النساء إلى آخر المصحف,عدد السور 114 سورة لا تتغير بتغير الروايات لكن يمكن أن تتغير مسميات السور في بعض الروايات,لا يختلف عدد السور باختلاف الرويات,,قاعدة بيانات تشمل فهرس السور لتحزيب التلاوة والسماع - يمكن أن يبنى على السور مشروعات تتعلق بعلوم السور مثل المكي والمدني وفضائل السور وأسماء السور وموضوعات السور - مقاصد السور - عدد آياتها. مدنية أم مكية.,لا تحتاج للمحاكاة لأن عدد السور ثابت في كل القراءات,,,,
طبقة المصحف,هناك مصحف لكل قراءة وأشهرها قراءة حفص وقد قام مجمع الملك فهد بطباعة مصحف لكل قراءة براوويها كل راوي في مصحف مستقل بمجموع 20 مصحفا,مصحف حفص - مصحف ورش - مصحف شعبة - مصحف قالون,عدد الآيات تابع للقراءة أو الرواية في عدد الآيات التي يرجحها القائمون على اللجنة العلمية التي تقرر وتراجع المصحف,,كل مصحف يمثل رواية له رموزه الخاصة التي تعبر عن الأداء الصوتي لهذه الرواية مثل الإمالة والتقليل والروم والإشمام والاختلاس والتسهيل ,واجهة للمصحف تمثل كل رواية ,,,,,
طبقة المصحف بحسب الطبعة ,طبعات المصاحف تختلف من طبعة لأخرى أشهرها بين المسلمين مصحف 1405 و1422 وأخيرا 1439 لمجمع الملك فهد ثم المصحف الأزهري والمسمى بمصحف الشمرلي ثم مصاحف الهند وباكستان والمسماة بمصاحف الأندوباك وكل مصحف يختلف عن الآخر في التصميم ومحتويات كل صفحة وكل هذه المصاحف المذكورة مطبوعة ومنشورة برواية حفص عن عاصم,مصاحف مجمع الملك فهد 1405 - 1422 - 1439 -- مصحف الشمرلي أو الأزهري - مصحف الاندوباك,عدد الآيات في كل صفحة و عدد الكلمات الموزعة على الأسطر,,,,محاكاة المصحف المطبوع من خلال الخطوط الديجيتال المتاحة - ومحاكاة أنظمة الترقيم ,,,,
طبقة الصفحة بحسب كل مصحف ,محتويات كل صفحة تختلف من مصحف لآخر بحسب تصميم ذلك المصحف فهذا المصحف مثلا 15 سطر كل صفحة تنتهي بآية وهذا 12 سطر ولا يشترط انتهاء الصفحات بآية وهكذا ,مصحف مجمع الملك فهد 604 صفحة بإصداراته الثلاثة 1405 - 1422 - 1439 - مصحف الشمرلي أو المصحف الأزهري - مصاحف الإندو باك,كل مصحف له عدد مختلف من الصفحات وعدد أسطر مختلف في كل من صفحاته,مصحف مجمعة الملك فهد كل القراءات ٦٠٤ |  مصحف حفص الشمرلي ٥٢٢ |  الاندو باك ٦١١ ,كل مصحف يمثل رواية له رموزه الخاصة التي تعبر عن الأداء الصوتي لهذه الرواية مثل الإمالة والتقليل والروم والإشمام والاختلاس والتسهيل ,موضوعات الصفحة وفوائد من الصفحة ترجمة الصفحة على بعضها لغير الناطقين بالعربية -> هذا ربط إشاري مبني على الآيات في حال عدم انقسام الآية في أكثر من صفحة وفي حال انقسام الآية الربط الإشارية ينقسم في نطاق الآية المنقسمة على الصفحتين فبذلك يتصل المحتوى بالصفحة وبما تحويه تلك الصفحة من نص قرآني أساسي بنيت عليه طبقات أخرى من المحتوى القرآني. والتحزيب نفسه محتوى قرآني في ذاته وعليه نظهر بيانات التصفح المختلفة مثل بيانات تصفح الأحزاب (موقع من الجزء).,محاكاة الكلمات التي بداخل الأسطر التي بداخل الصفحة.,دمج المصاحف في القراءات ,,,
طبقة السطر بحسب كل مصحف,محتوى كل سطر يختلف من مصحف لمصحف بحسب ما أشرت إليه آنفا من اختلاف تصميمات المصاحف وإعداداتها للطباعة ,كل المصاحف مختلفة في محتويات السطور حتى مصحف مجمع الملك فهد بإصداراته المختلفة ,يتغير عدد الأسطر بناء على عدد الأسطر في الصفحة المتغيرة بتغير المصحف,إجمالي عدد الأسطر يختلف بحساب عدد الأسطر في الصحفة مضروب في عدد الصفحات في المصحف وبذلك يكون لدينا عدد الأسطر المحدد لكل مصحف ولأن لكل رواية مصحف فبذلك يكون إجمالي عدد الأسطر في المصاحف مختلف اختلافاً كبيراً,تختلف المسافات بين الأسطر والأطوال المسافات في الخطوط ولذلك يعمل مشروع Digital Khat على رسم الكلمة دينامي لمحاكاة الرسم الأصلي لكل مصحف ومدى طول كل حرف بشكل برمجي وبذلك نفهم أن الإختلاف في الرسم واختلاف يربط الكلمات المحددة وطول الأحرف بداخل تلك الكلمات ثم طول الكلمة ككل من إجمالي طول السطر,رموز تخص رسم الأسطر مثل ولكن هي شيء يسير جداً في المصحف ككل .. محتوى تعليمي أسفل وأعلى الأسطر ويحدد موقع المحتوى المرتبط بالسطر بتحديد موقع السطر من الصفحة وكذلك موضع الكلمة أو الكلمات التي يرتبيط بها المحتوى التي تحدد مدى قرب الكلمات ذات الصلة من الحدود الأفقية للصفحة,,,,,
الرسم العثماني," الرسم العثماني في الاصطلاح فهو ما يُعرف بأنه: ""الوضع الذي ارتضاه الصحابة في عهد عثمان رضي الله عنه في كتابة كلمات القرآن الكريم وحروفه""، وعُبّر عن كذلك بـ: "" علمٌ تُعرف به مخالفة خط المصاحف العثمانية لأصول الرسم القياسي"".  والرسم العثماني هي عملية تشكل تغير في بنية الكلمة من خلال مجموع قواعد مثل قاعدة الحذف والإبدال وغيرها مما ذكر في المصدر المرفق. فالرسم العثماني ليس مجرد رسم شكلي فقط.",الصلوة - الزكوة - لئيكة  | فتثبتوا/فتبينوا | ننزل/ننزّل ( المثال كان يجب أن يكتب الكلمتان بدون تشكيل ),تطابق حالة اختلاف العدد على مستوى الأحرف حييث أن المقصود بالرسم هو  منظومة الأحرف .. والرسم العثماني يحمل أوجه أقل على مستوى الكلمة,,إ,,,,,,https://sites.google.com/prod/view/alitkaan/%D8%A7%D9%84%D9%82%D8%B1%D8%A1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/%D8%A7%D9%84%D8%B1%D8%B3%D9%85-%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86%D9%8A
والرسم الإملائي أو القياسي,الرسم الإملائي أو القياسي هو كتابة كلمات القرآن الكريم وفق قواعد الكتابة والإملاء المعمول بها في زماننا ,الصلاة - الزكاة - الأيكة  | فتثبتوا/فتبينوا | ننزل/ننزّل,تطابق حالة اختلاف العدد على مستوى الأحرف حييث أن المقصود بالرسم هو  منظومة الأحرف,,قد تتغير بنية الكلمة من قراءة لقراءة - قد تستبدل أحرف بأحرف ,,,,,,
القراء والرواة,"قائمة بالقراء العشرة ورواتهم المشهورون: 
الإمام نافع المدني: (روى عنه قالون وورش).
الإمام ابن كثير المكي: (روى عنه البزي وقنبل).
الإمام أبو عمرو البصري: (روى عنه الدوري والسوسي).
الإمام ابن عامر الشامي: (روى عنه هشام وابن ذكوان).
الإمام عاصم الكوفي: (روى عنه شعبة وحفص).
الإمام حمزة الزيات: (روى عنه خلف وخلاد).
الإمام الكسائي الكوفي: (روى عنه أبو الحارث الليث وحفص الدوري).
الإمام أبو جعفر المدني: (روى عنه ابن وردان وابن جماز).
الإمام يعقوب الحضرمي: (روى عنه رويس وروح).
الإمام خلف البزار: (روى عنه إسحاق وإدريس).",,,,,,,,,,